Description,Date,Earned,Paid,Category,Destination,Source,Net,,Balance,Involved
Start amount,1/1/2014,$284.28,,Misc,Bank,,$284.28,,$284.28,Bank
Hard Drive,2/28/2014,$38.33,$92.96,Tech,Cash,Bank,-$54.63,,$229.65,CashBank
Watch,7/3/2014,,$37.78,Tech,,Bank,-$37.78,,$191.87,Bank
Tire Swing,10/6/2014,$1.00,,Work,Cash,,$1.00,,$192.87,Cash
Moms DVD,10/31/2014,,$5.00,Gift,,Cash,-$5.00,,$187.87,Cash
Flash Drive,11/5/2014,,$11.00,Tech,,Cash,-$11.00,,$176.87,Cash
Headphones,11/5/2014,,$20.00,Tech,,Cash,-$20.00,,$156.87,Cash
Withdrawal Headphones/ Flashdrive,11/9/2014,$58.87,$58.87,Tech,Cash,Bank,$0.00,,$156.87,CashBank
B-day Party,12/5/2014,$2.00,,Gift,Cash,,$2.00,,$158.87,Cash
Speakers,12/6/2014,,$20.57,Tech,,Cash,-$20.57,,$138.30,Cash
B-day From Swanson,12/7/2014,$10.00,,Gift,Cash,,$10.00,,$148.30,Cash
Christmas Shopping,12/21/2014,,$14.01,Gift,,Visa,-$14.01,,$134.29,Visa
Christmas Shopping,12/21/2014,,$2.17,Gift,,Cash,-$2.17,,$132.12,Cash
Christmas Money from Cambels,12/24/2014,$50.00,,Gift,Cash,,$50.00,,$182.12,Cash
Visa From Mcennas,12/24/2014,$50.00,,Gift,Visa,,$50.00,,$232.12,Visa
Deposit Gma christmas,12/25/2014,$80.03,$80.00,Gift,Bank,Cash,$0.03,,$232.15,BankCash
36 Nerf Darts,1/31/2015,,$5.00,Toys,,Cash,-$5.00,,$227.15,Cash
Jolt,1/31/2015,,$4.83,Toys,,Unpaid,-$4.83,,$222.32,Unpaid
Lego Movie for dad,2/5/2015,,$5.00,Gift,,Visa,-$5.00,,$217.32,Visa
Powerbank,2/5/2015,,$16.21,Tech,,Visa,-$16.21,,$201.11,Visa
Bluetooth Keyboard,2/17/2015,,$10.99,Tech,,Unpaid,-$10.99,,$190.12,Unpaid
Audio Cable,2/17/2015,,$2.85,Tech,,Unpaid,-$2.85,,$187.27,Unpaid
Tims Camera,2/21/2015,,$17.50,Tech,,Unpaid,-$17.50,,$169.77,Unpaid
Tripod,3/3/2015,,$4.98,Tech,,Unpaid,-$4.98,,$164.79,Unpaid
Charging Cable,3/3/2015,,$5.43,Tech,,Unpaid,-$5.43,,$159.36,Unpaid
Withdrawal,3/4/2015,$51.84,$51.80,Misc,Cash,Bank,$0.04,,$159.40,CashBank
Pay Dad,3/4/2015,$15.02,$15.02,Misc,Unpaid,Cash,$0.00,,$159.40,UnpaidCash
Pay Dad,3/4/2015,$14.78,$14.78,Misc,Unpaid,Visa,$0.00,,$159.40,UnpaidVisa
Pay Tim,3/4/2015,$17.50,$17.50,Misc,Unpaid,Cash,$0.00,,$159.40,UnpaidCash
Feed Coxes Cat,3/14/2015,$5.00,,Work,Cash,,$5.00,,$164.40,Cash
Bike,3/15/2015,,$16.57,Toys,,Cash,-$16.57,,$147.83,Cash
Spedometer,3/18/2015,,$10.70,Toys,,Unpaid,-$10.70,,$137.13,Unpaid
Water bottle and holder,3/19/2015,,$7.57,Toys,,Unpaid,-$7.57,,$129.56,Unpaid
Subway Card,4/6/2015,$4.18,,Gift,Cash,,$4.18,,$133.74,Cash
Pay Dad,4/6/2015,$10.70,$10.70,Misc,Unpaid,Cash,$0.00,,$133.74,UnpaidCash
Fence Job,4/11/2015,$8.03,,Work,Cash,,$8.03,,$141.77,Cash
From Bryant,6/2/2015,$1.00,,Work,Cash,,$1.00,,$142.77,Cash
Hard Drive,6/4/2015,,$84.99,Tech,,Unpaid,-$84.99,,$57.78,Unpaid
Withdrawal,7/6/2015,$84.99,$84.99,Misc,Unpaid,Bank,$0.00,,$57.78,UnpaidBank
Camera Case,7/24/2015,,$9.74,Tech,,Cash,-$9.74,,$48.04,Cash
Knex,8/8/2015,,$2.00,Toys,,Cash,-$2.00,,$46.04,Cash
borrow from tim,8/8/2015,$1.55,$1.55,Misc,Cash,Unpaid,$0.00,,$46.04,CashUnpaid
Bank Withdrawal,8/9/2015,$3.00,$3.00,Misc,Cash,Bank,$0.00,,$46.04,CashBank
USB Battery,11/3/2015,,$11.24,Tech,,Cash,-$11.24,,$34.80,Cash
Debate Lunch Money,11/13/2015,$4.01,,Food,Cash,,$4.01,,$38.81,Cash
B-day from Cambels,12/13/2015,$16.00,,Gift,Bank,,$16.00,,$54.81,Bank
B-day From Swansons,12/13/2015,$50.00,,Gift,Bank,,$50.00,,$104.81,Bank
B-day Gift Card,12/21/2015,$25.00,,Gift,Gift Card,,$25.00,,$129.81,Gift Card
Christmas Money from Cambels,12/24/2015,$50.00,,Gift,Unpaid,,$50.00,,$179.81,Unpaid
Christmas Money from Mcennas,12/24/2015,$50.00,$11.58,Gift,Bank,Bank,$38.42,,$218.23,BankBank
Christmas Gift Card,12/24/2015,$50.00,,Gift,Gift Card,,$50.00,,$268.23,Gift Card
Paid Dad Cash,12/24/2015,$6.00,$6.00,Misc,Unpaid,Cash,$0.00,,$268.23,UnpaidCash
Amazon Gift Card,12/24/2015,$75.00,$75.00,Gift,Unpaid,Gift Card,$0.00,,$268.23,UnpaidGift Card
iPod Touch,12/27/2015,,$215.99,Tech,,Unpaid,-$215.99,,$52.24,Unpaid
iPod Case,12/27/2015,,$13.99,Tech,,Unpaid,-$13.99,,$38.25,Unpaid
Screen Protector,12/27/2015,,$7.95,Tech,,Unpaid,-$7.95,,$30.30,Unpaid
Bank Withdrawal,12/27/2015,$107.76,$106.92,Misc,Unpaid,Bank,$0.84,,$31.14,UnpaidBank
Debate Lunch,1/15/2016,$5.00,,Food,Cash,,$5.00,,$36.14,Cash
Yard Work,1/19/2016,$3.00,,Work,Cash,,$3.00,,$39.14,Cash
Bushes Work,7/15/2016,$10.00,,Work,Cash,,$10.00,,$49.14,Cash
Feed Cats,7/30/2016,$10.01,,Work,Cash,,$10.01,,$59.15,Cash
Bryant noodles,8/10/2016,$4.00,,Work,Cash,,$4.00,,$63.15,Cash
Dell Monitor,8/10/2016,,$5.99,Tech,,Cash,-$5.99,,$57.16,Cash
VGA Cable,8/10/2016,,$1.99,Tech,,Cash,-$1.99,,$55.17,Cash
HDMI to VGA Converter,8/10/2016,,$7.50,Tech,,Cash,-$7.50,,$47.67,Cash
Indoor/Outdoor thermometer,8/10/2016,,$0.05,Tech,,Cash,-$0.05,,$47.62,Cash
USB mini cable,8/10/2016,,$1.80,Tech,,Cash,-$1.80,,$45.82,Cash
Bluetooth Mouse,8/13/2016,,$7.89,Tech,,Cash,-$7.89,,$37.93,Cash
Thunderbolt to VGA adapter,8/13/2016,,$5.85,Tech,,Cash,-$5.85,,$32.08,Cash
Bluetooth Mouse,9/5/2016,$7.89,$7.89,Tech,Cash,Cash,$0.00,,$32.08,CashCash
Window Job,9/19/2016,$20.00,,Work,Bank,,$20.00,,$52.08,Bank
Brick Job,10/9/2016,$20.00,,Work,Bank,,$20.00,,$72.08,Bank
Apareous Raking Leaves,11/27/2016,$25.00,,Work,Bank,,$25.00,,$97.08,Bank
Leadership Christmas Party Gift,12/4/2016,,$4.97,Gift,,Cash,-$4.97,,$92.11,Cash
Raking leaves,12/10/2016,$20.00,,Work,Cash,,$20.00,,$112.11,Cash
B Day <-- Swanson Gparents,12/12/2016,$50.00,,Gift,Cash,,$50.00,,$162.11,Cash
Christmas Shopping,12/17/2016,$3.00,$16.24,Gift,Cash,Cash,-$13.24,,$148.87,CashCash
B Day <-- Cambell Gparents,12/17/2016,$17.00,,Gift,Bank,,$17.00,,$165.87,Bank
C-mas C Gparants,12/25/2016,$50.00,,Gift,Bank,,$50.00,,$215.87,Bank
C-mas Mkennas,12/25/2016,$50.00,,Gift,Visa,,$50.00,,$265.87,Visa
Keyboard Cover,1/15/2017,,$0.99,Tech,,Visa,-$0.99,,$264.88,Visa
Magsafe Power Supply,1/15/2017,,$22.95,Tech,,Visa,-$22.95,,$241.93,Visa
Speedomoter Batteries,1/15/2017,,$0.99,Tech,,Visa,-$0.99,,$240.94,Visa
Watch Band,1/15/2017,,$5.99,Tech,,Visa,-$5.99,,$234.95,Visa
Wire Splitter,1/31/2017,,$1.99,Tech,,Visa,-$1.99,,$232.96,Visa
Y Splitter,1/31/2017,,$2.98,Tech,,Visa,-$2.98,,$229.98,Visa
25ft Audio Cable,1/31/2017,,$2.98,Tech,,Visa,-$2.98,,$227.00,Visa
iPhone Screen Protector,2/6/2017,,$0.99,Tech,,Visa,-$0.99,,$226.01,Visa
Raking leaves,3/2/2017,$50.00,,Work,Bank,,$50.00,,$276.01,Bank
Breadboard,3/13/2017,,$3.95,Education,,Visa,-$3.95,,$272.06,Visa
Components,3/16/2017,,$15.28,Education,,Cash,-$15.28,,$256.78,Cash
More Components,5/19/2017,$13.94,$17.83,Education,Cash,Bank,-$3.89,,$252.89,CashBank
Branches Job,5/20/2017,$8.00,,Work,Bank,,$8.00,,$260.89,Bank
Monitor,6/13/2017,$0.08,$79.99,Tech,Bank,Bank,-$79.91,,$172.98,BankBank
Keyboard,6/13/2017,,$14.88,Tech,,Bank,-$14.88,,$158.10,Bank
Mouse,6/13/2017,,$13.80,Tech,,Bank,-$13.80,,$144.30,Bank
Hub,6/13/2017,,$9.99,Tech,,Bank,-$9.99,,$134.31,Bank
6-16 Paycheck,6/16/2017,$454.60,$1.20,Work,Bank,Bank,$453.40,,$587.71,BankBank
6-29 Paycheck,6/29/2017,$488.62,,Work,Bank,,$488.62,,$1076.33,Bank
Double Shift,7/9/2017,$20.00,,Work,Cash,,$20.00,,$1096.33,Cash
7-15 Paycheck,7/14/2017,$485.64,,Work,Bank,,$485.64,,$1581.97,Bank
Batteries,7/16/2017,,$4.27,Tech,,Bank,-$4.27,,$1577.70,Bank
Pi & Accessories,7/16/2017,,$64.00,Education,,Cash,-$64.00,,$1513.70,Cash
7-28 Paycheck,7/28/2017,$490.11,-$1.00,Work,Bank,Cash,$491.11,,$2004.81,BankCash
Feed Cats,7/29/2017,$10.00,,Work,Cash,,$10.00,,$2014.81,Cash
8-11 Paycheck,8/11/2017,$473.69,,Work,Bank,,$473.69,,$2488.50,Bank
8-25 Paycheck,8/25/2017,$55.24,,Work,Bank,,$55.24,,$2543.74,Bank
9-7 Paycheck,9/8/2017,$80.35,,Work,Bank,,$80.35,,$2624.09,Bank
9-22 Paycheck,9/22/2017,$137.26,,Work,Bank,,$137.26,,$2761.35,Bank
Football Ticket,9/22/2017,,$3.00,Entertainment,,Cash,-$3.00,,$2758.35,Cash
10-6 Paycheck ,10/6/2017,$53.56,,Work,Bank,,$53.56,,$2811.91,Bank
Debate Lunch,10/14/2017,$8.82,,Food,Cash,,$8.82,,$2820.73,Cash
10-20 Paycheck,10/20/2017,$51.90,,Work,Bank,,$51.90,,$2872.63,Bank
Dry Erase Paper/Markers,11/9/2017,,$22.40,Office Supplies,,Bank,-$22.40,,$2850.23,Bank
Flash Drive,11/9/2017,,$8.68,Tech,,Bank,-$8.68,,$2841.55,Bank
Personalized Pens,11/9/2017,,$12.16,Office Supplies,,Bank,-$12.16,,$2829.39,Bank
Personalized Pencil,11/9/2017,,$15.00,Office Supplies,,Bank,-$15.00,,$2814.39,Bank
Tim Amazon,11/15/2017,$9.30,$9.30,Misc,Cash,Bank,$0.00,,$2814.39,CashBank
Cans,11/20/2017,,$2.50,Gift,,Cash,-$2.50,,$2811.89,Cash
12-1 Paycheck,12/1/2017,$40.17,,Work,Bank,,$40.17,,$2852.06,Bank
Christmas Presents-Walmart,12/2/2017,,$67.83,Gift,,Bank,-$67.83,,$2784.23,Bank
Tim Hub,12/4/2017,,$7.00,Gift,,Bank,-$7.00,,$2777.23,Bank
Yearbook,12/6/2017,,$72.00,Entertainment,,Bank,-$72.00,,$2705.23,Bank
Mom B-Day Yeabook,12/7/2017,$36.00,,Gift,Cash,,$36.00,,$2741.23,Cash
Gparents Swanson B-Day,12/7/2017,$50.00,,Gift,Cash,,$50.00,,$2791.23,Cash
Wireless Desk Charger,12/8/2017,,$17.13,Tech,,Bank,-$17.13,,$2774.10,Bank
Spotify,12/9/2017,,$1.07,Entertainment,,Bank,-$1.07,,$2773.03,Bank
Amazon Gift Card From Dad,12/10/2017,$25.00,,Gift,Gift Card,,$25.00,,$2798.03,Gift Card
Mouspads,12/11/2017,,$28.21,Gift,,Bank,-$28.21,,$2769.82,Bank
Drivers License,12/11/2017,,$25.00,Fees,,Cash,-$25.00,,$2744.82,Cash
Angel Tree & Secret Santa,12/15/2017,$31.12,$62.81,Gift,Cash,Bank,-$31.69,,$2713.13,CashBank
